Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
L.Arraez o1.5 hits+runs+rbi,Rotowire Prizepicks,San Diego Padres,L.Arraez,Seattle Mariners,0,0.6213592233009708,1,0.8,1,0.7,1,100,1.5,3.0,1.5
S.Suzuki o1.5 Hits + Runs + RBIs,MJCLocks,Chicago Cubs,S.Suzuki,Los Angeles Dodgers,0,0.5508474576271186,1,0.4,0,0.4,0,-115,1.15,2.1499999999999995,0.9999999999999996
S.Suzuki o1.5 Hits + Runs + RBIs,FirefighterBets,Chicago Cubs,S.Suzuki,Los Angeles Dodgers,0,0.5508474576271186,1,0.4,0,0.4,0,-115,1.0,1.869565217391304,0.8695652173913042
J.Rojas o0.5 hits+runs+rbi,Rotowire,Philadelphia Phillies,J.Rojas,Tampa Bay Rays,1,0.65,1,0.8,1,0.4,0,100,0.75,1.5,0.75
M.Harris o1.5 hits+runs+rbi,Rotowire,Atlanta Braves,M.Harris,Washington Nationals,0,0.4408602150537634,0,0.6,1,0.6,1,100,0.75,1.5,0.75
Y.Diaz o1.5 hits+runs+rbi,Rotowire,Houston Astros,Y.Diaz,Oakland Athletics,1,0.5757575757575758,1,0.6,1,0.7,1,100,0.75,1.5,0.75
Z.Gelof o0.5 hits+runs+rbi,Rotowire,Oakland Athletics,Z.Gelof,Houston Astros,0,0.6,1,1.0,1,0.7,1,100,0.75,1.5,0.75
T.Ward o1.5 hits+runs+rbi,Rotowire Prizepicks,Los Angeles Angels,T.Ward,Minnesota Twins,0,0.4532374100719424,0,0.8,1,0.7,1,100,1.5,3.0,1.5
J.Wilson o0.5 hits+runs+rbi,Rotowire,Oakland Athletics,J.Wilson,Houston Astros,0,0.75,1,0.8,1,0.7,1,100,0.75,1.5,0.75
L.Raley o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,L.Raley,San Diego Padres,1,0.5641025641025641,1,0.8,1,0.6,1,100,0.75,1.5,0.75
